producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Mono Largo Asimétrico Drapeado,289000,M,5,Johana Ferraro,2026-02-11,1445000
Vestido Asimétrico Fruncido,170000,XS,1,Juan Jose Rios,2026-01-23,170000
Mono Largo Cuello Drapeado Cinturón,210000,M,2,Jessica Mora,2026-02-02,420000
Mono Palabra De Honor Estampado,250000,M,2,Johana Ferraro,2026-02-27,500000
Vestido Asimétrico Fruncido,170000,M,5,Alexander Ramirez,2026-02-08,850000
Mono Palabra De Honor Estampado,250000,XXXL,1,Juan Jose Rios,2026-02-05,250000
Mono Largo Asimétrico Drapeado,289000,XS,2,Juan Jose Rios,2026-02-15,578000
Mono Raya Diplomática Combinado,350000,XL,3,Johana Ferraro,2026-02-03,1050000
Vestido Punto Cuello Perkins,110000,XS,5,Alexander Ramirez,2026-01-27,550000
Mono Largo Cuello Drapeado Cinturón,210000,M,3,Laura Mora,2026-02-28,630000
Mono Largo Combinado,150000,M,2,Johana Ferraro,2026-02-09,300000
Mono Largo Cuello Drapeado Cinturón,210000,M,2,Roger Mora,2026-02-24,420000
Mono Largo Cuello Drapeado Cinturón,210000,XS,5,Jessica Mora,2026-02-09,1050000
Vestido Corto Evasé,120000,M,2,David Mira,2026-01-05,240000
Vestido Asimétrico Fruncido,170000,S,4,Laura Mora,2026-01-12,680000
Mono Palabra De Honor Estampado,250000,XXL,1,David Mira,2026-01-15,250000
Mono Largo Combinado,150000,L,3,Johana Ferraro,2026-02-03,450000
Vestido Cuello Barco Fruncidos,185000,XS,1,Johana Ferraro,2026-02-03,185000
Vestido Maxi Volante,199000,XXXL,1,Jessica Mora,2026-01-22,199000
Mono Largo Combinado,150000,M,4,Roger Mora,2026-02-22,600000
Mono Raya Diplomática Combinado,350000,L,2,Roger Mora,2026-02-09,700000
Mono Palabra De Honor Estampado,250000,XXXL,1,Juan Jose Rios,2026-01-22,250000
Mono Largo Cuello Drapeado Cinturón,210000,XXL,1,Juan Jose Rios,2026-02-18,210000
Mono Largo Asimétrico Drapeado,289000,XL,3,Jessica Mora,2026-02-07,867000
Mono Raya Diplomática Combinado,350000,L,1,Jessica Mora,2026-01-21,350000
Vestido Punto Cuello Perkins,110000,XXL,3,Alexander Ramirez,2026-02-25,330000
Vestido Punto Cuello Perkins,110000,S,1,Juan Jose Rios,2026-03-03,110000
Vestido Corto Evasé,120000,XXL,1,Alexander Ramirez,2026-02-12,120000
Vestido Asimétrico Fruncido,170000,M,3,Roger Mora,2026-01-07,510000
Vestido Corto Evasé,120000,S,3,Alexander Ramirez,2026-01-25,360000
Mono Largo Asimétrico Drapeado,289000,XXXL,1,Jessica Mora,2026-02-09,289000
Mono Largo Combinado,150000,S,4,Roger Mora,2026-01-14,600000
Mono Largo Cuello Drapeado Cinturón,210000,XXL,1,Johana Ferraro,2026-01-22,210000
Mono Largo Asimétrico Drapeado,289000,XL,3,Juan Jose Rios,2026-02-04,867000
Vestido Corto Evasé,120000,M,2,Laura Mora,2026-02-03,240000
Vestido Asimétrico Fruncido,170000,M,3,Johana Ferraro,2026-02-25,510000
Vestido Maxi Volante,199000,M,5,Roger Mora,2026-01-11,995000
Vestido Asimétrico Fruncido,170000,S,1,Johana Ferraro,2026-02-12,170000
Vestido Punto Cuello Perkins,110000,L,3,Alexander Ramirez,2026-02-11,330000
Mono Largo Cuello Drapeado Cinturón,210000,XXXL,5,David Mira,2026-02-09,1050000
Mono Raya Diplomática Combinado,350000,L,4,Johana Ferraro,2026-02-27,1400000
Vestido Corto Evasé,120000,M,4,David Mira,2026-01-05,480000
Vestido Maxi Volante,199000,M,3,Jessica Mora,2026-02-21,597000
Mono Largo Combinado,150000,M,2,Juan Jose Rios,2026-02-04,300000
Vestido Punto Cuello Perkins,110000,M,1,Laura Mora,2026-01-11,110000
Mono Palabra De Honor Estampado,250000,S,3,David Mira,2026-01-26,750000
Mono Raya Diplomática Combinado,350000,L,1,Jessica Mora,2026-02-06,350000
Vestido Punto Cuello Perkins,110000,XS,1,Jessica Mora,2026-01-04,110000
Mono Palabra De Honor Estampado,250000,L,4,Laura Mora,2026-01-03,1000000
Mono Palabra De Honor Estampado,250000,XXL,3,Alexander Ramirez,2026-02-26,750000
Vestido Asimétrico Fruncido,170000,XL,4,Laura Mora,2026-02-08,680000
Vestido Cuello Barco Fruncidos,185000,M,1,Johana Ferraro,2026-01-13,185000
Mono Palabra De Honor Estampado,250000,XXXL,5,Jessica Mora,2026-02-01,1250000
Vestido Asimétrico Fruncido,170000,M,4,Johana Ferraro,2026-01-05,680000
Vestido Asimétrico Fruncido,170000,M,1,Alexander Ramirez,2026-01-15,170000
Mono Raya Diplomática Combinado,350000,L,4,Juan Jose Rios,2026-01-30,1400000
