producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Mono largo asimétrico drapeado,289000.0,medio,5.0,Johana Ferraro,2026-02-11 00:00:00,1445000
Vestido asimétrico fruncido,170000.0,XS,0.0,Juan Jose Rios,2026-01-23 00:00:00,680000
Mono largo cuello drapeado cinturón,210000.0,medio,2.0,Jessica Mora,2026-02-02 00:00:00,420000
Mono palabra de honor estampado,250000.0,medio,2.0,Johana Ferraro,2026-02-27 00:00:00,500000
Vestido asimétrico fruncido,170000.0,M,5.0,Alexander Ramirez,2026-02-08 00:00:00,388436
Mono palabra de honor estampado,250000.0,XXXL,1.0,Juan Jose Rios,2026-02-05 00:00:00,44653
Mono largo asimétrico drapeado,289000.0,XS,2.0,JUAN JOSE RIOS,2026-02-15 00:00:00,578000
Mono raya diplomática combinado,350000.0,XL,3.0,Johana Ferraro,2026-02-03 00:00:00,61364
Vestido punto cuello perkins,110000.0,XS,5.0,Alexander Ramirez,27/01/2026,550000
Mono largo cuello drapeado cinturón,210000.0,M,3.0,Laura Mora,28/02/2026,630000
Vestido cuello barco fruncidos,,XXXL,4.0,Jessica Mora,2026-01-21 00:00:00,740000
Vestido maxi volante,,XL,2.0,Juan Jose Rios,2026-02-12 00:00:00,398000
Mono largo combinado ,150000.0,M,2.0,Johana Ferraro,2026-02-09 00:00:00,300000
Mono largo cuello drapeado cinturón,210000.0,medio,2.0,Roger Mora,2026-02-24 00:00:00,420000
Mono largo cuello drapeado cinturón ,210000.0,XS,5.0,Jessica Mora,2026-02-09 00:00:00,1050000
Vestido corto evasé,120000.0,M,2.0,DAVID MIRA,2026-01-05 00:00:00,240000
Mono largo asimétrico drapeado,,M,2.0,Jessica Mora,2026-02-19 00:00:00,578000
Vestido asimétrico fruncido,170000.0,S,4.0,LAURA MORA,2026-01-12 00:00:00,680000
Mono palabra de honor estampado,250000.0,XXL,1.0,David Mira,2026-01-15 00:00:00,408105
mono largo combinado,150000.0,L,3.0,Johana Ferraro,2026-02-03 00:00:00,450000
Mono palabra de honor estampado,,L,4.0,Roger Mora,2026-02-09 00:00:00,1000000
Vestido cuello barco fruncidos,185000.0,XS,1.0,Johana Ferraro,2026-02-03 00:00:00,185000
Vestido maxi volante,199000.0,XXXL,-1.0,Jessica Mora,2026-01-22 00:00:00,597000
Mono largo combinado,150000.0,M,4.0,Roger Mora,2026-02-22 00:00:00,120690
Mono raya diplomática combinado,350000.0,L,2.0,Roger Mora,2026-02-09 00:00:00,700000
Mono palabra de honor estampado,250000.0,XXXL,-1.0,Juan Jose Rios,2026-01-22 00:00:00,750000
Mono largo cuello drapeado cinturón,210000.0,XXL,,Juan Jose Rios,2026-02-18 00:00:00,840000
Mono largo asimétrico drapeado,289000.0,XL,3.0,Jessica Mora,2026-02-07 00:00:00,867000
Mono raya diplomática combinado,350000.0,L,,Jessica Mora,2026-01-21 00:00:00,1750000
Vestido punto cuello perkins,110000.0,XXL,3.0,Alexander Ramirez,2026-02-25 00:00:00,330000
Vestido punto cuello perkins,110000.0,S,1.0,JUAN JOSE RIOS,2026-03-03 00:00:00,110000
Vestido corto evasé,120000.0,XXL,,Alexander Ramirez,2026-02-12 00:00:00,240000
